商品名称,价格,厂商指导价,评分,评价数量,咨询数量,商品图片,专区,分类,国别,商品链接,商品编号,商品规格,主要原料,营养成分,适用对象,颗粒大小,口味配方,出厂保质期,重量,市场价
日本伊纳宝 妙好金枪鱼与鸡小胸肉猫湿粮 60g,¥3.30,¥3.96,5.0,204,0,//img-new.boqiicdn.com/Data/Shop/0/44/4413/shoppicpath11555504897_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-4413.html,142935,60g,,,猫咪,,金枪鱼与鸡小胸肉,12个月,0.07KG,￥4.0
日本伊纳宝 妙好猫用纯金枪鱼猫湿粮 60g,¥3.30,¥3.96,4.9,238,0,//img-new.boqiicdn.com/Data/Shop/0/44/4414/shoppicpath11555504984_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-4414.html,142936,60g,,,猫咪,,纯金枪鱼,24个月,0.07KG,￥4.0
日本伊纳宝 妙好金枪鱼与小银鱼猫湿粮 60g,¥3.30,¥3.96,5.0,255,0,//img-new.boqiicdn.com/Data/Shop/0/44/4415/shoppicpath11555505075_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-4415.html,142937,60g,,,1-7岁成年猫,,金枪鱼+小银鱼,2年,0.07KG,￥4.0
日本伊纳宝 妙好猫用金枪鱼三文鱼猫湿粮 60g,¥3.30,¥3.96,5.0,304,0,//img-new.boqiicdn.com/Data/Shop/0/44/4416/shoppicpath11555505154_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-4416.html,142938,60g,,,猫,,金枪鱼三文鱼,2年,0.07KG,￥4.0
日本伊纳宝 妙好猫用金枪鱼和扇贝柱猫湿粮 60g,¥3.30,¥3.96,4.9,217,0,//img-new.boqiicdn.com/Data/Shop/0/44/4417/shoppicpath11555505225_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-4417.html,142939,60g,,,猫猫,,鱼肉,,0.07KG,￥4.0
日本伊纳宝 妙好猫用金枪鱼和蟹肉棒猫湿粮 60g,¥3.30,¥3.96,4.9,223,0,//img-new.boqiicdn.com/Data/Shop/0/44/4418/shoppicpath11555505329_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-4418.html,142940,60g,,,全猫,,金枪鱼、蟹肉,2年,0.07KG,￥4.0
拜宠爽 犬用体外驱虫 滴剂 适用4kg以下 4支盒装/4个月剂量 德国进口,¥288.00,¥360.00,5.0,119,0,//img-new.boqiicdn.com/Data/Shop/0/44/4428/shoppicpath11592192668_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-4428.html,178004,,,,4kg以下犬,,,2年,0.04KG,￥360.0
拜宠爽 犬用体外驱虫 滴剂 适用4kg以下 单支/1月剂量 德国进口,¥80.00,¥88.00,5.0,51,0,//img-new.boqiicdn.com/Data/Shop/0/44/4429/shoppicpath11592193244_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-4429.html,178005,,,,4kg以下犬,,,,0.03KG,￥88.0
拜宠爽 犬用体外驱虫 滴剂 适用 4-10kg 4支盒装/4个月剂量 德国进口,¥328.00,¥410.00,5.0,569,1,//img-new.boqiicdn.com/Data/Shop/0/44/4430/shoppicpath11592193364_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-4430.html,178006,,,,4-10kg犬,,,,0.04KG,￥410.0
拜宠爽 犬用体外驱虫 滴剂 适用4-10kg 单支/1个月剂量 德国进口,¥90.00,¥99.00,4.9,133,1,//img-new.boqiicdn.com/Data/Shop/0/44/4431/shoppicpath11592193542_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-4431.html,178007,,,,7周龄以上，4-10kg犬,,,,0.01KG,￥99.0
拜宠爽 犬用体外驱虫 滴剂 适用10-25kg 4支盒装/4个月剂量 德国进口,¥368.00,¥460.00,5.0,512,0,//img-new.boqiicdn.com/Data/Shop/0/44/4432/shoppicpath11592200299_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-4432.html,178008,,,,10-25kg犬,,,,0.05KG,￥460.0
拜宠爽 犬用体外驱虫 滴剂 适用10-25kg 单支/1月剂量 德国进口,¥100.00,¥110.00,4.9,53,0,//img-new.boqiicdn.com/Data/Shop/0/44/4433/shoppicpath11592200433_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-4433.html,178009,,,,7周龄以上，10-25kg犬,,,,0.01KG,￥110.0
拜宠爽 犬用体外驱虫 滴剂 适用 25kg以上 4支盒装/4个月剂量 德国进口,¥408.00,¥510.00,5.0,258,2,//img-new.boqiicdn.com/Data/Shop/0/44/4434/shoppicpath11592200716_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-4434.html,178010,,,,25kg以上犬,,,2年,0.06KG,￥510.0
拜宠爽 犬用体外驱虫 滴剂 适用25kg以上 单支/1个月剂量 德国进口,¥110.00,¥121.00,4.9,36,0,//img-new.boqiicdn.com/Data/Shop/0/44/4435/shoppicpath11592200851_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-4435.html,178011,,,,25kg以上犬,,,2年,0.01KG,￥121.0
曼劳 亮毛鸡肉糕点美毛狗零食 400g,¥32.00,¥35.20,4.9,89,0,//img-new.boqiicdn.com/Data/Shop/0/50/5064/shoppicpath11600151445_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,肉类零食,https://shop.boqii.com/product-5064.html,1220701,400g,,,犬,,鸡肉,18个月,0.51KG,￥35.2
曼劳 亮毛牛肉圈美毛狗零食 400g,¥32.00,¥35.20,4.9,237,1,//img-new.boqiicdn.com/Data/Shop/0/50/5065/shoppicpath11600151833_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,肉类零食,https://shop.boqii.com/product-5065.html,1220702,400g,,,犬,,牛肉,18个月,0.42KG,￥35.2
曼劳 亮毛牛肉棒牛肉条美毛狗零食 400g,¥32.00,¥35.20,4.9,233,0,//img-new.boqiicdn.com/Data/Shop/0/50/5067/shoppicpath11600151956_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,肉类零食,https://shop.boqii.com/product-5067.html,1220705,400g,,,全犬,,牛肉,,0.44KG,￥35.2
曼劳 鸡肉鳕鱼亮毛寿司美毛狗零食 400g,¥32.00,¥35.20,4.9,324,0,//img-new.boqiicdn.com/Data/Shop/0/50/5068/shoppicpath11600152029_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,肉类零食,https://shop.boqii.com/product-5068.html,1220706,400g,,,全犬,,鸡肉,,0.43KG,￥35.2
曼劳 亮毛牛肉糕点美毛狗零食 400g,¥32.00,¥35.20,4.9,126,0,//img-new.boqiicdn.com/Data/Shop/0/50/5071/shoppicpath11600152108_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,肉类零食,https://shop.boqii.com/product-5071.html,1220709,400g,,,犬,,牛肉,18个月,0.44KG,￥35.2
曼劳 鸡肉鳕鱼亮毛三文治美毛狗零食 400g,¥32.00,¥35.20,4.8,267,0,//img-new.boqiicdn.com/Data/Shop/0/50/5073/shoppicpath11600152284_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,肉类零食,https://shop.boqii.com/product-5073.html,1220711,400g,,,3月龄以上大型犬,,鸡肉鳕鱼,12个月,0.44KG,￥35.2
比瑞吉 全价小型成犬粮 1.5kg,¥99.00,¥106.80,4.8,834,4,//img-new.boqiicdn.com/Data/Shop/0/51/5104/shoppicpath11591325891_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5104.html,101506,1.5kg,鱼粉、鸡肉粉、大米,粗蛋白质≥24%、粗脂肪≥13%、钙≥1.0%,小型犬成犬,标准粒,混合口味,18个月,1.55KG,￥106.8
比瑞吉 小型幼犬粮天然狗粮 1.5kg,¥109.00,¥130.80,4.7,309,13,//img-new.boqiicdn.com/Data/Shop/0/51/5105/shoppicpath11593496117_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5105.html,101507,1.5kg,鸡肉、大米、鱼肉,粗蛋白质≥30%、粗脂肪≥16%、钙≥1.3%,10月龄以下,标准粒,鸡肉,18个月,1.55KG,￥130.8
比瑞吉 全价小型成犬粮 10kg,¥439.00,¥526.80,4.8,444,6,//img-new.boqiicdn.com/Data/Shop/0/51/5106/shoppicpath11591326085_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5106.html,101508,10kg,鱼肉、鸡肉粉、大米,粗蛋白质≥24%、粗脂肪≥13%、钙≥1%,小型犬成犬,标准粒,混合口味,18个月,10.20KG,￥526.8
比瑞吉 小型犬幼犬粮 10kg,¥539.00,¥679.20,4.7,74,5,//img-new.boqiicdn.com/Data/Shop/0/51/5107/shoppicpath11593496277_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5107.html,101509,10kg,鸡肉、大米、鱼肉,粗蛋白质≥24%、粗纤维≤5%、钙≥0.6%,小型犬幼犬,标准,混合,18个月,10.28KG,￥679.2
宝路Pedigree 供训养场使用全价幼犬粮 20kg,¥369.00,¥405.90,4.8,134,6,//img-new.boqiicdn.com/Data/Shop/0/51/5110/shoppicpath11583816885_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5110.html,101512,20kg,精选肉类（牛肉、鸡肉）及肉类副产品、谷类、原粒谷物、精炼植物油,天然蛋白质（最低）≥28%，天然脂肪（最低）≥14%，天然纤维（,幼犬,标准粒,牛肉、鸡肉,18个月,20.26KG,￥405.9
宝路Pedigree 牛肉蔬菜口味大龄犬犬粮 1.8kg,¥49.50,¥62.28,5.0,1094,0,//img-new.boqiicdn.com/Data/Shop/0/51/5111/shoppicpath11595925334_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5111.html,101821,1.8kg,鸡肉粉、牛肉粉、谷物,粗蛋白质≥25%、粗脂肪≥11%、钙≥0.8%,7岁以上老年犬,标准粒,鸡肉,18个月,1.84KG,￥62.3
伟嘉 海鲜味成猫猫粮 1.3kg,¥42.90,¥47.20,4.9,292,0,//img-new.boqiicdn.com/Data/Shop/0/51/5112/shoppicpath11582092441_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-5112.html,101514,1.3kg,谷物、肉类/肉粉、玉米蛋白粉、动物性油脂,粗蛋白，粗脂肪，粗纤维，水分，钙,成猫,标准颗粒,海鲜味,18个月,1.33KG,￥47.2
维斯康 猫用化毛膏 120.5g 去毛球营养补充,¥65.00,¥78.00,4.9,4453,6,//img-new.boqiicdn.com/Data/Shop/0/51/5139/shoppicpath11570787861_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,保健营养,美毛化毛,https://shop.boqii.com/product-5139.html,1515219,,,,犬猫,,,2年,0.15KG,￥78.0
好之味 添加牛肉海藻卵磷脂成犬粮 10kg,¥113.00,¥142.80,4.9,2937,25,//img-new.boqiicdn.com/Data/Shop/0/51/5168/shoppicpath11592477877_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5168.html,100404,10KG,玉米、 猪肉、 小麦,粗蛋白≥18%，粗脂肪≥6%，钙≥0.6%，水份≥0.09%,成犬,适中,牛肉味,18个月,10.18KG,￥142.8
雷米高 赛极号三文鱼&螺旋藻全犬种幼犬粮 1.5kg,¥68.00,¥90.00,4.9,101,2,//img-new.boqiicdn.com/Data/Shop/0/52/5253/shoppicpath11600845002_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5253.html,1021102,1.5kg,进口鸡肉粉、三文鱼、鸡蛋、新鲜原粒谷物,粗蛋白≥27%，粗脂肪≥12%，粗纤维≤5%，粗灰分≤12%，水,幼犬,标准颗粒,三文鱼,18个月,1.52KG,￥90.0
雷米高Ramical  赛极号成犬三文鱼螺旋藻狗粮 8kg  （波奇豆抵扣专享）,,,4.9,74,1,//img-new.boqiicdn.com/Data/Shop/0/52/5254/shoppicpath11565589677_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5254.html,1021103,8kg,鸡肉粉、鸡蛋、玉米,粗蛋白质≥25%、粗纤维≤5%、钙≥1.0%,成犬,标准颗,鸡肉,18个月,8.25KG,￥286.0
雷米高Ramical 澳丽得幼犬粮牛肉深海鱼油狗粮20kg,¥256.00,¥281.60,4.9,1328,9,//img-new.boqiicdn.com/Data/Shop/0/52/5255/shoppicpath11539866168_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5255.html,1021104,20kg,奶粉、肉粉、酵母,粗蛋白质≥23%、粗脂肪≥12%、钙≥1.1%,幼犬,标准粒,肉,18个月,20.00KG,￥281.6
雷米高Ramical 澳丽得幼犬牛肉深海鱼油狗粮500g,¥9.60,¥10.60,4.7,459,2,//img-new.boqiicdn.com/Data/Shop/0/52/5256/shoppicpath11618456162_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5256.html,1021105,500g,肉粉、奶粉、谷物果蔬、动物脂肪、复合抗氧化剂、酵母、维生素、微量,粗蛋白≥23%、粗脂肪≥12%、钙≥1%、赖氨酸≥1%、亚油酸≥,幼犬,小颗粒,鸡肉果蔬,18个月,0.50KG,￥10.6
雷米高Ramical 澳丽得幼犬粮牛肉深海鱼油狗粮10kg,¥146.00,¥160.60,4.9,618,0,//img-new.boqiicdn.com/Data/Shop/0/52/5257/shoppicpath11560910330_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5257.html,1021106,10kg,大米、牛肉粉、鸡肉粉,粗蛋白质≥23%、粗脂肪≥12%、钙≥1%,幼犬,标准粒,牛肉,18个月,10.18KG,￥160.6
雷米高Ramical 澳丽得海洋鱼味全期猫粮 10kg,¥138.00,¥151.80,5.0,16625,2,//img-new.boqiicdn.com/Data/Shop/0/52/5258/shoppicpath11566791421_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-5258.html,1321107,10kg,鸡肉粉、大米、玉米、鸡油、鱼粉、乳酸钙、果寡糖、符合维生素等,粗蛋白≥23%、粗脂肪≥11%、牛磺酸≥0.1%、钙≥0.8%、,全猫,小颗粒,鸡肉鱼肉,18个月,10.21KG,￥151.8
雷米高Ramical 澳丽得成犬牛肉深海鱼油狗粮10kg,¥138.00,¥151.80,5.0,1461,0,//img-new.boqiicdn.com/Data/Shop/0/52/5262/shoppicpath11539866215_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5262.html,1021111,10kg,牛肉、深海鱼,粗蛋白质≥21%、粗脂肪≥10%、钙≥1%,成犬,标准粒,牛肉、深海鱼,18个月,10.13KG,￥151.8
雷米高Ramical 澳丽得成犬粮牛肉深海鱼油狗粮500g,¥8.80,¥9.70,4.8,420,5,//img-new.boqiicdn.com/Data/Shop/0/52/5264/shoppicpath11618455317_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5264.html,1021113,500g,精选畜禽肉类、 进口鱼粉、 肉粉,粗蛋白≥21%，粗脂肪≥10%，钙≥1%，水分≤10%,成犬,适中,牛肉深海鳕鱼,18个月,0.50KG,￥9.7
雷米高 澳丽得牛肉+海洋鱼油成犬粮 20kg,¥245.00,¥269.50,5.0,7842,7,//img-new.boqiicdn.com/Data/Shop/0/52/5265/shoppicpath11540550796_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-5265.html,1021114,20kg,精选畜禽肉类、 进口鱼粉、 肉粉,粗蛋白≥21%，粗脂肪≥10%，钙≥1%，水分≤10%,成犬,适中,牛肉深海鳕鱼,15个月,20.37KG,￥269.5
多格漫 犬用带柄跳蚤梳 中小型犬适用,,,5.0,27,0,//img-new.boqiicdn.com/Data/Shop/0/54/5417/shoppicpath31469515628_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-5417.html,1876100,总长15，针长1.5cm,,,中小型犬,,,,0.03KG,￥39.6
多格漫 小型犬用指甲剪,,,4.8,17,0,//img-new.boqiicdn.com/Data/Shop/0/54/5423/shoppicpath11540895843_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-5423.html,1876103,刀柄,,,小型犬,,,,0.06KG,￥62.4
多格漫Doggyman  猫用不锈钢指甲剪   握感舒适,,,4.9,152,0,//img-new.boqiicdn.com/Data/Shop/0/54/5425/shoppicpath11577255098_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪美容,梳剪工具,https://shop.boqii.com/product-5425.html,1876105,柄,,,猫,,,,0.02KG,￥42.0
日本多格漫Doggyman 宠物湿巾70抽15cm*20cm 宠物清洁,¥19.00,¥20.90,4.9,178,0,//img-new.boqiicdn.com/Data/Shop/0/55/5500/shoppicpath11469515727_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-5500.html,1876200,70抽15cm*20cm,,,犬猫,,,,0.34KG,￥20.9
法国皇家 成犬早期心脏病处方粮 2kg ec26 肾脏疾病适用,¥238.00,¥261.80,5.0,1,1,//img-new.boqiicdn.com/Data/Shop/0/55/5527/shoppicpath11574824079_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,处方粮,https://shop.boqii.com/product-5527.html,1001200,2kg,,,成犬,标注颗粒,混合口味,18个月,2.00KG,￥261.8
法国皇家 成犬皮肤处方粮 2kg 皮肤损伤感染适用,¥233.00,¥256.30,4.4,20,12,//img-new.boqiicdn.com/Data/Shop/0/55/5529/shoppicpath11574824366_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,处方粮,https://shop.boqii.com/product-5529.html,1001202,2kg,,,成犬,标注颗粒,混合口味,18个月,2.00KG,￥256.3
法国皇家 成犬泌尿道处方粮 2kg lp18 稀释尿液 减少结石形成,¥238.00,¥261.80,4.9,28,4,//img-new.boqiicdn.com/Data/Shop/0/55/5530/shoppicpath11574824643_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,处方粮,https://shop.boqii.com/product-5530.html,1001203,2kg,,,成犬,标注颗粒,混合口味,18个月,2.00KG,￥261.8
法国皇家 成犬骨关节处犬粮 1.5kg 维持关节灵活性,¥173.00,¥190.30,4.8,6,0,//img-new.boqiicdn.com/Data/Shop/0/55/5531/shoppicpath11574824874_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,处方粮,https://shop.boqii.com/product-5531.html,1001204,1.5kg,,,成犬,标注颗粒,混合口味,18个月,1.50KG,￥190.3
法国皇家 成犬低过敏性处方粮 2kg 拒绝食物过敏,¥265.00,¥291.50,5.0,7,0,//img-new.boqiicdn.com/Data/Shop/0/55/5532/shoppicpath11574825229_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,处方粮,https://shop.boqii.com/product-5532.html,1001205,2kg,,,成犬,标注颗粒,混合口味,18个月,2.00KG,￥291.5
法国皇家（ROYAL CANIN）宠物处方狗粮 肠道处方犬粮 2kg,¥234.00,¥257.40,4.9,24,5,//img-new.boqiicdn.com/Data/Shop/0/55/5533/shoppicpath11379399421_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,处方粮,https://shop.boqii.com/product-5533.html,1001206,,,,,,,,2.00KG,￥257.4
法国皇家 成猫泌尿道处方粮 1.5kg 稀释尿液 减少结石形成,¥216.00,¥237.60,4.7,92,10,//img-new.boqiicdn.com/Data/Shop/0/55/5536/shoppicpath11574835423_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,处方粮,https://shop.boqii.com/product-5536.html,1301209,1.5kg,,,成猫,标注颗粒,混合口味,18个月,1.50KG,￥237.6
法国皇家 绝育母猫粮处方粮 1.5kg  维持理想体态 减少结石形成,¥161.00,¥177.10,4.8,4,1,//img-new.boqiicdn.com/Data/Shop/0/55/5537/shoppicpath11574835998_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,处方粮,https://shop.boqii.com/product-5537.html,1301210,1.5kg,,,绝育母猫,标注颗粒,混合口味,18个月,1.50KG,￥177.1
捣蛋鬼 塑料猫砂铲 清理猫砂,¥2.00,¥2.20,4.9,632,0,//img-new.boqiicdn.com/Data/Shop/0/56/5687/picpath11335946349_y.JPG?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,排便清洁,https://shop.boqii.com/product-5687.html,2112301,0.02KG,,,全龄猫,,,,0.02KG,￥2.2
麦德氏inplus 犬用蓝标超浓缩卵磷脂培根味 680g 李佳琦爱犬同款 美毛护肤爆毛,¥138.00,¥151.80,4.9,1787,9,//img-new.boqiicdn.com/Data/Shop/0/57/5790/shoppicpath11593506145_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,美毛护肤,https://shop.boqii.com/product-5790.html,155807,,,,犬用,,,18个月,0.82KG,￥151.8
法国皇家 猫肾脏处方粮 2kg 慢性肾脏疾病适用,,,4.8,6,0,//img-new.boqiicdn.com/Data/Shop/0/58/5855/shoppicpath11574836188_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,处方粮,https://shop.boqii.com/product-5855.html,1301211,2kg,,,成猫,标注颗粒,混合口味,18个月,2.00KG,￥327.6
捣蛋鬼 网格带立柱双层狗厕所 免尿片狗厕所,¥35.00,¥45.50,4.5,54,2,//img-new.boqiicdn.com/Data/Shop/0/59/5962/shoppicpath11540893270_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-5962.html,2145501,,,,狗狗,,,,1.32KG,￥45.5
捣蛋鬼 开放式狗狗平板厕所 附送草皮内板,¥35.00,¥45.50,4.6,71,1,//img-new.boqiicdn.com/Data/Shop/0/59/5963/shoppicpath11569823605_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-5963.html,2145503,小号,,,犬猫,,,,0.30KG,￥45.5
风来客 毫棒/豪棒系列牛奶味洁齿骨咬胶狗零食2寸 270g（30只装）,¥26.80,¥29.50,4.8,250,0,//img-new.boqiicdn.com/Data/Shop/0/60/6091/shoppicpath11572335050_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-6091.html,124476,270g,,,成犬,,牛奶味,2年,0.29KG,￥29.5
风来客 毫棒/豪棒系列齿留香磨牙棒咬胶狗零食 75g,¥8.80,¥9.70,5.0,539,4,//img-new.boqiicdn.com/Data/Shop/0/60/6092/shoppicpath11583405681_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-6092.html,124477,75g,,,6个月以上犬,,海藻味,24个月,0.09KG,￥9.7
好之味 添加鱼肉海藻卵磷脂成猫粮 10kg,¥146.00,¥160.60,4.9,1249,5,//img-new.boqiicdn.com/Data/Shop/0/61/6124/shoppicpath11592478112_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-6124.html,130405,10kg,猪肉、玉米、鸡肉,粗蛋白质≥26%、粗脂肪≥9%、钙≥0.8%,成猫,标准粒,猪肉,18个月,10.26KG,￥160.6
哈特丽 双色猫用指甲剪 指甲剪刀 猫用指甲刀,¥5.00,¥5.50,4.8,336,0,//img-new.boqiicdn.com/Data/Shop/0/63/6310/shoppicpath11577254180_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪美容,梳剪工具,https://shop.boqii.com/product-6310.html,2145677,10 * 5.5 cm,,,犬猫,,,,0.03KG,￥5.5
